Sample in Buffer,Sample in Window,TRIGGER,axis_rx_tdata_1[511:0],axis_rx_tvalid_1,axis_rx_tuser_1,axis_rx_tkeep_1[63:0],axis_rx_tlast_1,axis_tx_tdata_1[511:0],axis_tx_tvalid_1,axis_tx_tkeep_1[63:0],axis_tx_tlast_1,axis_tx_tready_1,lbus_reset,lbus1_tx_ovfout,lbus1_tx_unfout,RefClkLocked,Reset,qsfp1_intl_ls_IBUF
74,10,0,0000000000000000000000000000000000000000000000006e180ba50000000000000000000000000000000000000a0aa8c0000000000000690aa8c0c6de9c9a,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
75,11,0,0000000000000000000000000000000000000000000000006e180ba50000000000000000000000000000000000000a0aa8c0000000000000690aa8c0c6de9c9a,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
76,12,0,0000000000000000000000000000000000000000000000006e180ba50000000000000000000000000000000000000a0aa8c0000000000000690aa8c0c6de9c9a,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
77,13,0,0000000000000000000000000000000000000000000000006e180ba50000000000000000000000000000000000000a0aa8c0000000000000690aa8c0c6de9c9a,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
78,14,0,0000000000000000000000000000000000000000000000006e180ba50000000000000000000000000000000000000a0aa8c0000000000000690aa8c0c6de9c9a,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
79,15,0,0000000000000000000000000000000000000000000000006e180ba50000000000000000000000000000000000000a0aa8c0000000000000690aa8c0c6de9c9a,0,0,0000000000000000,0,00000000000000000000000000000000000000000000690aa8c0c6de9c9a0dec0a0aa8c0924102350a0002000406000801000608924102350a00c6de9c9a0dec,1,0fffffffffffffff,1,1,0,0,0,1,0,0
80,16,0,0000000000000000000000000000000000000000000000006e180ba50000000000000000000000000000000000000a0aa8c0000000000000690aa8c0c6de9c9a,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
81,17,0,0000000000000000000000000000000000000000000000006e180ba50000000000000000000000000000000000000a0aa8c0000000000000690aa8c0c6de9c9a,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
82,18,0,0000000000000000000000000000000000000000000000006e180ba50000000000000000000000000000000000000a0aa8c0000000000000690aa8c0c6de9c9a,0,0,0000000000000000,0,00000000000000000000000000000000000000000000690aa8c0c6de9c9a0dec0a0aa8c0924102350a0002000406000801000608924102350a00c6de9c9a0dec,1,0fffffffffffffff,1,1,0,0,0,1,0,0
83,19,0,0000000000000000000000000000000000000000000000006e180ba50000000000000000000000000000000000000a0aa8c0000000000000690aa8c0c6de9c9a,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
84,20,0,0000000000000000000000000000000000000000000000006e180ba50000000000000000000000000000000000000a0aa8c0000000000000690aa8c0c6de9c9a,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
85,21,0,0000000000000000000000000000000000000000000000006e180ba50000000000000000000000000000000000000a0aa8c0000000000000690aa8c0c6de9c9a,0,0,0000000000000000,0,00000000000000000000000000000000000000000000690aa8c0c6de9c9a0dec0a0aa8c0924102350a0002000406000801000608924102350a00c6de9c9a0dec,1,0fffffffffffffff,1,1,0,0,0,1,0,0
86,22,0,0000000000000000000000000000000000000000000000006e180ba50000000000000000000000000000000000000a0aa8c0000000000000690aa8c0c6de9c9a,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
87,23,0,0000000000000000000000000000000000000000000000006e180ba50000000000000000000000000000000000000a0aa8c0000000000000690aa8c0c6de9c9a,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
88,24,0,0000000000000000000000000000000000000000000000006e180ba50000000000000000000000000000000000000a0aa8c0000000000000690aa8c0c6de9c9a,0,0,0000000000000000,0,00000000000000000000000000000000000000000000690aa8c0c6de9c9a0dec0a0aa8c0924102350a0002000406000801000608924102350a00c6de9c9a0dec,1,0fffffffffffffff,1,1,0,0,0,1,0,0
89,25,0,0000000000000000000000000000000000000000000000006e180ba50000000000000000000000000000000000000a0aa8c0000000000000690aa8c0c6de9c9a,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
90,26,0,0000000000000000000000000000000000000000000000006e180ba50000000000000000000000000000000000000a0aa8c0000000000000690aa8c0c6de9c9a,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
91,27,0,0000000000000000000000000000000000000000000000006e180ba50000000000000000000000000000000000000a0aa8c0000000000000690aa8c0c6de9c9a,0,0,0000000000000000,0,00000000000000000000000000000000000000000000690aa8c0c6de9c9a0dec0a0aa8c0924102350a0002000406000801000608924102350a00c6de9c9a0dec,1,0fffffffffffffff,1,1,0,0,0,1,0,0
