Sample in Buffer,Sample in Window,TRIGGER,axis_rx_tdata_1[511:0],axis_rx_tvalid_1,axis_rx_tuser_1,axis_rx_tkeep_1[63:0],axis_rx_tlast_1,axis_tx_tdata_1[511:0],axis_tx_tvalid_1,axis_tx_tkeep_1[63:0],axis_tx_tlast_1,axis_tx_tready_1,lbus_reset,lbus1_tx_ovfout,lbus1_tx_unfout,RefClkLocked,Reset,qsfp1_intl_ls_IBUF
39,7,0,00000000000000000000000000000000000000000000000000000000000000005c8d8e2b0000000000000000ffffffff0000000201da4dfd1200102778b50a64,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
40,8,0,00000000000000000000000000000000000000000000000000000000000000005c8d8e2b0000000000000000ffffffff0000000201da4dfd1200102778b50a64,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
41,9,0,00000000000000000000000000000000000000000000000000000000000000005c8d8e2b0000000000000000ffffffff0000000201da4dfd1200102778b50a64,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
42,10,0,00000000000000000000000000000000000000000000000000000000000000005c8d8e2b0000000000000000ffffffff0000000201da4dfd1200102778b50a64,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
43,11,0,00000000000000000000000000000000000000000000000000000000000000005c8d8e2b0000000000000000ffffffff0000000201da4dfd1200102778b50a64,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
44,12,0,00000000000000000000000000000000000000000000000000000000000000005c8d8e2b0000000000000000ffffffff0000000201da4dfd1200102778b50a64,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
45,13,0,00000000000000000000000000000000000000000000000000000000000000005c8d8e2b0000000000000000ffffffff0000000201da4dfd1200102778b50a64,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
46,14,1,00000000000000000000000000000000000000000000000000000000000000005c8d8e2b0000000000000000ffffffff0000000201da4dfd1200102778b50a64,0,0,0000000000000000,0,5c8d8e2b0000000000000000ffffffff0000000201da4dfd120078b510279664a8c00a64a8c027da11400040ae16260000450008924102350a00acfbc34b6b50,1,0fffffffffffffff,1,1,0,0,0,1,0,1
47,15,0,00000000000000000000000000000000000000000000000000000000000000005c8d8e2b0000000000000000ffffffff0000000201da4dfd1200102778b50a64,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
48,0,0,b00ba3950000000000000000ffffffff0000000301da4dfc1200102778b50a64a8c09664a8c026da11400040af16260000450008acfbc34b6b50924102350a00,1,0,0fffffffffffffff,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
49,1,0,000000000000000000000000000000000000000000000000000000000000001e000000000000001e0000000000000000b00ba3950000000000000000ffffffff,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
