Sample in Buffer,Sample in Window,TRIGGER,axis_rx_tdata_1[511:0],axis_rx_tvalid_1,axis_rx_tuser_1,axis_rx_tkeep_1[63:0],axis_rx_tlast_1,axis_tx_tdata_1[511:0],axis_tx_tvalid_1,axis_tx_tkeep_1[63:0],axis_tx_tlast_1,axis_tx_tready_1,lbus_reset,lbus1_tx_ovfout,lbus1_tx_unfout,RefClkLocked,Reset,qsfp1_intl_ls_IBUF
73,73,0,000000000000000000000000000000000000000000000000000000000000001e00000000000000006a0336cb0000000000000000212021202120212021206565,0,0,0000000000000000,0,6a0336cb000000000000000021202120212021202120656512004a8910270964a8c00a64a8c0528311400040106e260000450008924102350a00ecfac34b6b50,1,0fffffffffffffff,1,1,0,0,0,1,0,0
74,74,0,000000000000000000000000000000000000000000000000000000000000001e00000000000000006a0336cb0000000000000000212021202120212021206565,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
75,75,0,000000000000000000000000000000000000000000000000000000000000001e00000000000000006a0336cb0000000000000000212021202120212021206565,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
76,76,0,000000000000000000000000000000000000000000000000000000000000001e00000000000000006a0336cb0000000000000000212021202120212021206565,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
77,77,0,000000000000000000000000000000000000000000000000000000000000001e00000000000000006a0336cb0000000000000000212021202120212021206565,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
78,78,0,000000000000000000000000000000000000000000000000000000000000001e00000000000000006a0336cb0000000000000000212021202120212021206565,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
79,79,0,000000000000000000000000000000000000000000000000000000000000001e00000000000000006a0336cb0000000000000000212021202120212021206565,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
80,80,0,000000000000000000000000000000000000000000000000000000000000001e00000000000000006a0336cb0000000000000000212021202120212021206565,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
81,81,0,000000000000000000000000000000000000000000000000000000000000001e00000000000000006a0336cb0000000000000000212021202120212021206565,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
82,82,0,000000000000000000000000000000000000000000000000000000000000001e00000000000000006a0336cb0000000000000000212021202120212021206565,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
83,83,0,000000000000000000000000000000000000000000000000000000000000001e00000000000000006a0336cb0000000000000000212021202120212021206565,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
84,84,0,000000000000000000000000000000000000000000000000000000000000001e00000000000000006a0336cb0000000000000000212021202120212021206565,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
85,85,0,000000000000000000000000000000000000000000000000000000000000001e00000000000000006a0336cb0000000000000000212021202120212021206565,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
86,86,0,000000000000000000000000000000000000000000000000000000000000001e00000000000000006a0336cb0000000000000000212021202120212021206565,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
87,87,0,000000000000000000000000000000000000000000000000000000000000001e00000000000000006a0336cb0000000000000000212021202120212021206565,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
88,88,0,000000000000000000000000000000000000000000000000000000000000001e00000000000000006a0336cb0000000000000000212021202120212021206565,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,0
